, 0
1906, 1
1910, 2
1914, 1
1916, 1
1920, 1
1925, 1
1929, 1
1930, 2
1931, 2
1933, 1
1934, 1
1936, 3
1937, 1
1939, 4
1941, 3
1942, 5
1943, 10
1944, 13
1945, 14
1946, 9
1947, 45
1948, 9
1949, 20
1950, 32
1951, 26
1952, 57
1953, 40
1954, 62
1955, 40
1956, 49
1957, 83
1958, 54
1959, 61
1960, 77
1961, 54
1962, 82
1963, 94
1964, 106
1965, 207
1966, 224
1967, 220
1968, 244
1969, 178
1970, 171
1971, 139
1972, 200
1973, 253
1974, 300
1975, 358
1976, 314
1977, 301
1978, 380
1979, 281
1980, 277
1981, 195
1982, 212
1983, 180
1984, 204
1985, 241
1986, 221
1987, 250
1988, 271
1989, 284
1990, 293
1991, 261
1992, 288
1993, 357
1994, 478
1995, 1438
1996, 984
1997, 1403
1998, 1993
1999, 3123
2000, 3054
2001, 3482
2002, 3637
2003, 4388
2004, 4700
2005, 4465
2006, 4111
2007, 4673
2008, 5226
2009, 4932
2010, 4690
2011, 5521
2012, 7925
2013, 7610
2014, 2475
